tool,scenario,rps,duration,p50,p90,p95,p99,error_rate,ts
k6,baseline,50,,,,,,,20251029_105122
k6,baseline,200,,,,,,,20251029_105122
k6,cache,50,,,,,,,20251029_105545
k6,cache,200,,,,,,,20251029_105545
k6,lb,50,,,,,,,20251029_105430
k6,lb,200,,,,,,,20251029_105430
k6,tls,1,,,,,,,20251029_124234
k6,tls,1,,,,,,,20251029_124318
k6,tls,1,,,,,,,20251029_124441
k6,tls,1,,,,,,,20251029_124753
k6,tls,1,,,,,,,20251029_124842
k6,tls,1,,,,,,,20251029_125424
k6,tls,1,,,,,,,20251029_125503
k6,tls,50,,,,,,,20251029_105244
k6,tls,50,,,,,,,20251029_110838
k6,tls,50,,,,,,,20251029_111744
k6,tls,200,,,,,,,20251029_105244
k6,tls,200,,,,,,,20251029_110838
k6,tls,200,,,,,,,20251029_111744
k6,tls,50200,,,,,,,20251029_112246
